,City,Year,Month,Temperature,Energy,MonthNo,LogEnergy
85,"Birmingham, Alabama",2,Feb,3,17,2,2.8903717578961645
86,"Birmingham, Alabama",2,Mar,7,14,3,2.70805020110221
87,"Birmingham, Alabama",2,Apr,10,7,4,2.0794415416798357
88,"Birmingham, Alabama",2,May,15,3,5,1.3862943611198906
89,"Birmingham, Alabama",2,Jun,20,3,6,1.3862943611198906
90,"Birmingham, Alabama",2,Jul,22,0,7,0.0
91,"Birmingham, Alabama",2,Aug,22,0,8,0.0
92,"Birmingham, Alabama",2,Sep,18,2,9,1.0986122886681098
93,"Birmingham, Alabama",2,Oct,12,4,10,1.6094379124341003
94,"Birmingham, Alabama",2,Nov,6,12,11,2.5649493574615367
95,"Birmingham, Alabama",2,Dec,2,18,12,2.9444389791664403
96,"Boston, Massachusetts",1,Jan,2,19,1,2.995732273553991
97,"Boston, Massachusetts",1,Feb,4,14,2,2.70805020110221
98,"Boston, Massachusetts",1,Mar,7,4,3,1.6094379124341003
99,"Boston, Massachusetts",1,Apr,13,1,4,0.6931471805599453
100,"Boston, Massachusetts",1,May,19,3,5,1.3862943611198906
101,"Boston, Massachusetts",1,Jun,24,1,6,0.6931471805599453
102,"Boston, Massachusetts",1,Jul,27,3,7,1.3862943611198906
103,"Boston, Massachusetts",1,Aug,26,2,8,1.0986122886681098
104,"Boston, Massachusetts",1,Sep,22,3,9,1.3862943611198906
105,"Boston, Massachusetts",1,Oct,16,4,10,1.6094379124341003
106,"Boston, Massachusetts",1,Nov,11,6,11,1.9459101490553132
107,"Boston, Massachusetts",1,Dec,5,13,12,2.6390573296152584
108,"Boston, Massachusetts",2,Jan,-5,29,1,3.4011973816621555
109,"Boston, Massachusetts",2,Feb,-4,23,2,3.1780538303479458
110,"Boston, Massachusetts",2,Mar,0,16,3,2.833213344056216
111,"Boston, Massachusetts",2,Apr,5,7,4,2.0794415416798357
112,"Boston, Massachusetts",2,May,10,5,5,1.791759469228055
113,"Boston, Massachusetts",2,Jun,15,5,6,1.791759469228055
114,"Boston, Massachusetts",2,Jul,19,2,7,1.0986122886681098
115,"Boston, Massachusetts",2,Aug,18,2,8,1.0986122886681098
116,"Boston, Massachusetts",2,Sep,14,5,9,1.791759469228055
117,"Boston, Massachusetts",2,Oct,8,11,10,2.4849066497880004
118,"Boston, Massachusetts",2,Nov,3,11,11,2.4849066497880004
119,"Boston, Massachusetts",2,Dec,-2,15,12,2.772588722239781
120,"Buffalo, New York",1,Jan,0,12,1,2.5649493574615367
121,"Buffalo, New York",1,Feb,1,17,2,2.8903717578961645
122,"Buffalo, New York",1,Mar,6,5,3,1.791759469228055
123,"Buffalo, New York",1,Apr,13,9,4,2.302585092994046
124,"Buffalo, New York",1,May,19,3,5,1.3862943611198906
125,"Buffalo, New York",1,Jun,24,3,6,1.3862943611198906
126,"Buffalo, New York",1,Jul,27,1,7,0.6931471805599453
127,"Buffalo, New York",1,Aug,26,0,8,0.0
128,"Buffalo, New York",1,Sep,22,3,9,1.3862943611198906
129,"Buffalo, New York",1,Oct,15,5,10,1.791759469228055
130,"Buffalo, New York",1,Nov,9,5,11,1.791759469228055
131,"Buffalo, New York",1,Dec,2,14,12,2.70805020110221
132,"Buffalo, New York",2,Jan,-8,27,1,3.332204510175204
133,"Buffalo, New York",2,Feb,-7,29,2,3.4011973816621555
134,"Buffalo, New York",2,Mar,-3,18,3,2.9444389791664403
135,"Buffalo, New York",2,Apr,3,11,4,2.4849066497880004
136,"Buffalo, New York",2,May,9,8,5,2.1972245773362196
137,"Buffalo, New York",2,Jun,14,6,6,1.9459101490553132
138,"Buffalo, New York",2,Jul,17,0,7,0.0
139,"Buffalo, New York",2,Aug,16,6,8,1.9459101490553132
140,"Buffalo, New York",2,Sep,12,5,9,1.791759469228055
141,"Buffalo, New York",2,Oct,6,9,10,2.302585092994046
142,"Buffalo, New York",2,Nov,1,20,11,3.044522437723423
143,"Buffalo, New York",2,Dec,-4,18,12,2.9444389791664403
144,"Charlotte, North Carolina",1,Jan,10,10,1,2.3978952727983707
145,"Charlotte, North Carolina",1,Feb,13,6,2,1.9459101490553132
146,"Charlotte, North Carolina",1,Mar,17,3,3,1.3862943611198906
147,"Charlotte, North Carolina",1,Apr,22,5,4,1.791759469228055
148,"Charlotte, North Carolina",1,May,26,0,5,0.0
149,"Charlotte, North Carolina",1,Jun,30,1,6,0.6931471805599453
150,"Charlotte, North Carolina",1,Jul,32,1,7,0.6931471805599453
151,"Charlotte, North Carolina",1,Aug,31,1,8,0.6931471805599453
152,"Charlotte, North Carolina",1,Sep,27,0,9,0.0
153,"Charlotte, North Carolina",1,Oct,22,4,10,1.6094379124341003
154,"Charlotte, North Carolina",1,Nov,17,8,11,2.1972245773362196
155,"Charlotte, North Carolina",1,Dec,12,8,12,2.1972245773362196
156,"Charlotte, North Carolina",2,Jan,-1,24,1,3.2188758248682006
157,"Charlotte, North Carolina",2,Feb,0,32,2,3.4965075614664802
158,"Charlotte, North Carolina",2,Mar,4,17,3,2.8903717578961645
159,"Charlotte, North Carolina",2,Apr,8,6,4,1.9459101490553132
160,"Charlotte, North Carolina",2,May,13,8,5,2.1972245773362196
161,"Charlotte, North Carolina",2,Jun,18,4,6,1.6094379124341003
162,"Charlotte, North Carolina",2,Jul,20,5,7,1.791759469228055
163,"Charlotte, North Carolina",2,Aug,20,4,8,1.6094379124341003
164,"Charlotte, North Carolina",2,Sep,16,2,9,1.0986122886681098
165,"Charlotte, North Carolina",2,Oct,9,8,10,2.1972245773362196
166,"Charlotte, North Carolina",2,Nov,4,16,11,2.833213344056216
167,"Charlotte, North Carolina",2,Dec,0,24,12,3.2188758248682006
168,"Chicago, Illinois",1,Jan,-1,32,1,3.4965075614664802
169,"Chicago, Illinois",1,Feb,2,17,2,2.8903717578961645
170,"Chicago, Illinois",1,Mar,8,13,3,2.6390573296152584
171,"Chicago, Illinois",1,Apr,15,13,4,2.6390573296152584
172,"Chicago, Illinois",1,May,21,11,5,2.4849066497880004
173,"Chicago, Illinois",1,Jun,27,7,6,2.0794415416798357
174,"Chicago, Illinois",1,Jul,29,0,7,0.0
175,"Chicago, Illinois",1,Aug,28,4,8,1.6094379124341003
176,"Chicago, Illinois",1,Sep,24,5,9,1.791759469228055
177,"Chicago, Illinois",1,Oct,17,8,10,2.1972245773362196
178,"Chicago, Illinois",1,Nov,9,20,11,3.044522437723423
179,"Chicago, Illinois",1,Dec,2,21,12,3.091042453358316
180,"Chicago, Illinois",2,Jan,-9,59,1,4.0943445622221
181,"Chicago, Illinois",2,Feb,-7,33,2,3.5263605246161616
182,"Chicago, Illinois",2,Mar,-2,38,3,3.6635616461296463
183,"Chicago, Illinois",2,Apr,4,10,4,2.3978952727983707
184,"Chicago, Illinois",2,May,9,20,5,3.044522437723423
185,"Chicago, Illinois",2,Jun,15,11,6,2.4849066497880004
186,"Chicago, Illinois",2,Jul,18,6,7,1.9459101490553132
187,"Chicago, Illinois",2,Aug,17,13,8,2.6390573296152584
188,"Chicago, Illinois",2,Sep,12,17,9,2.8903717578961645
189,"Chicago, Illinois",2,Oct,6,14,10,2.70805020110221
190,"Chicago, Illinois",2,Nov,0,22,11,3.1354942159291497
191,"Chicago, Illinois",2,Dec,-6,37,12,3.6375861597263857
192,"Cincinnati, Ohio",1,Jan,5,11,1,2.4849066497880004
193,"Cincinnati, Ohio",1,Feb,7,10,2,2.3978952727983707
194,"Cincinnati, Ohio",1,Mar,13,6,3,1.9459101490553132
195,"Cincinnati, Ohio",1,Apr,19,7,4,2.0794415416798357
196,"Cincinnati, Ohio",1,May,24,4,5,1.6094379124341003
197,"Cincinnati, Ohio",1,Jun,28,5,6,1.791759469228055
198,"Cincinnati, Ohio",1,Jul,30,1,7,0.6931471805599453
199,"Cincinnati, Ohio",1,Aug,30,5,8,1.791759469228055
200,"Cincinnati, Ohio",1,Sep,26,1,9,0.6931471805599453
201,"Cincinnati, Ohio",1,Oct,20,5,10,1.791759469228055
202,"Cincinnati, Ohio",1,Nov,13,4,11,1.6094379124341003
203,"Cincinnati, Ohio",1,Dec,6,11,12,2.4849066497880004
204,"Cincinnati, Ohio",2,Jan,-5,20,1,3.044522437723423
205,"Cincinnati, Ohio",2,Feb,-4,33,2,3.5263605246161616
206,"Cincinnati, Ohio",2,Mar,0,21,3,3.091042453358316
207,"Cincinnati, Ohio",2,Apr,6,10,4,2.3978952727983707
208,"Cincinnati, Ohio",2,May,11,13,5,2.6390573296152584
209,"Cincinnati, Ohio",2,Jun,16,3,6,1.3862943611198906
210,"Cincinnati, Ohio",2,Jul,18,6,7,1.9459101490553132
211,"Cincinnati, Ohio",2,Aug,17,4,8,1.6094379124341003
212,"Cincinnati, Ohio",2,Sep,13,6,9,1.9459101490553132
213,"Cincinnati, Ohio",2,Oct,6,12,10,2.5649493574615367
214,"Cincinnati, Ohio",2,Nov,1,20,11,3.044522437723423
215,"Cincinnati, Ohio",2,Dec,-3,30,12,3.4339872044851463
216,"Cleveland, Ohio",1,Jan,1,18,1,2.9444389791664403
217,"Cleveland, Ohio",1,Feb,3,10,2,2.3978952727983707
218,"Cleveland, Ohio",1,Mar,8,9,3,2.302585092994046
219,"Cleveland, Ohio",1,Apr,15,2,4,1.0986122886681098
220,"Cleveland, Ohio",1,May,21,3,5,1.3862943611198906
221,"Cleveland, Ohio",1,Jun,26,0,6,0.0
222,"Cleveland, Ohio",1,Jul,28,1,7,0.6931471805599453
223,"Cleveland, Ohio",1,Aug,27,0,8,0.0
224,"Cleveland, Ohio",1,Sep,23,1,9,0.6931471805599453
225,"Cleveland, Ohio",1,Oct,17,2,10,1.0986122886681098
226,"Cleveland, Ohio",1,Nov,10,4,11,1.6094379124341003
227,"Cleveland, Ohio",1,Dec,4,14,12,2.70805020110221
228,"Cleveland, Ohio",2,Jan,-6,56,1,4.04305126783455
229,"Cleveland, Ohio",2,Feb,-5,32,2,3.4965075614664802
230,"Cleveland, Ohio",2,Mar,-1,26,3,3.295836866004329
231,"Cleveland, Ohio",2,Apr,5,14,4,2.70805020110221
232,"Cleveland, Ohio",2,May,10,5,5,1.791759469228055
233,"Cleveland, Ohio",2,Jun,15,2,6,1.0986122886681098
234,"Cleveland, Ohio",2,Jul,18,3,7,1.3862943611198906
235,"Cleveland, Ohio",2,Aug,17,3,8,1.3862943611198906
236,"Cleveland, Ohio",2,Sep,13,2,9,1.0986122886681098
237,"Cleveland, Ohio",2,Oct,7,9,10,2.302585092994046
238,"Cleveland, Ohio",2,Nov,3,12,11,2.5649493574615367
239,"Cleveland, Ohio",2,Dec,-3,31,12,3.4657359027997265
240,"Columbus, Ohio",1,Jan,3,23,1,3.1780538303479458
241,"Columbus, Ohio",1,Feb,5,21,2,3.091042453358316
242,"Columbus, Ohio",1,Mar,11,17,3,2.8903717578961645
243,"Columbus, Ohio",1,Apr,18,14,4,2.70805020110221
244,"Columbus, Ohio",1,May,23,10,5,2.3978952727983707
245,"Columbus, Ohio",1,Jun,28,7,6,2.0794415416798357
246,"Columbus, Ohio",1,Jul,29,4,7,1.6094379124341003
247,"Columbus, Ohio",1,Aug,29,12,8,2.5649493574615367
248,"Columbus, Ohio",1,Sep,25,10,9,2.3978952727983707
249,"Columbus, Ohio",1,Oct,18,13,10,2.6390573296152584
250,"Columbus, Ohio",1,Nov,11,10,11,2.3978952727983707
251,"Columbus, Ohio",1,Dec,5,13,12,2.6390573296152584
252,"Columbus, Ohio",2,Jan,-5,21,1,3.091042453358316
253,"Columbus, Ohio",2,Feb,-4,27,2,3.332204510175204
254,"Columbus, Ohio",2,Mar,0,17,3,2.8903717578961645
255,"Columbus, Ohio",2,Apr,6,20,4,3.044522437723423
256,"Columbus, Ohio",2,May,11,17,5,2.8903717578961645
257,"Columbus, Ohio",2,Jun,16,12,6,2.5649493574615367
258,"Columbus, Ohio",2,Jul,19,19,7,2.995732273553991
259,"Columbus, Ohio",2,Aug,18,18,8,2.9444389791664403
260,"Columbus, Ohio",2,Sep,14,19,9,2.995732273553991
261,"Columbus, Ohio",2,Oct,7,21,10,3.091042453358316
262,"Columbus, Ohio",2,Nov,2,23,11,3.1780538303479458
263,"Columbus, Ohio",2,Dec,-3,28,12,3.367295829986474
264,"Dallas, Texas",1,Jan,14,9,1,2.302585092994046
265,"Dallas, Texas",1,Feb,16,6,2,1.9459101490553132
266,"Dallas, Texas",1,Mar,20,4,3,1.6094379124341003
267,"Dallas, Texas",1,Apr,25,6,4,1.9459101490553132
268,"Dallas, Texas",1,May,29,0,5,0.0
269,"Dallas, Texas",1,Jun,33,8,6,2.1972245773362196
270,"Dallas, Texas",1,Jul,36,2,7,1.0986122886681098
271,"Dallas, Texas",1,Aug,36,3,8,1.3862943611198906
272,"Dallas, Texas",1,Sep,32,1,9,0.6931471805599453
273,"Dallas, Texas",1,Oct,26,0,10,0.0
274,"Dallas, Texas",1,Nov,20,5,11,1.791759469228055
275,"Dallas, Texas",1,Dec,14,9,12,2.302585092994046
276,"Dallas, Texas",2,Jan,3,21,1,3.091042453358316
277,"Dallas, Texas",2,Feb,5,17,2,2.8903717578961645
278,"Dallas, Texas",2,Mar,9,14,3,2.70805020110221
279,"Dallas, Texas",2,Apr,13,8,4,2.1972245773362196
280,"Dallas, Texas",2,May,19,9,5,2.302585092994046
281,"Dallas, Texas",2,Jun,23,8,6,2.1972245773362196
282,"Dallas, Texas",2,Jul,25,4,7,1.6094379124341003
283,"Dallas, Texas",2,Aug,25,4,8,1.6094379124341003
284,"Dallas, Texas",2,Sep,21,5,9,1.791759469228055
285,"Dallas, Texas",2,Oct,15,9,10,2.302585092994046
286,"Dallas, Texas",2,Nov,9,19,11,2.995732273553991
287,"Dallas, Texas",2,Dec,4,13,12,2.6390573296152584
288,"Denver, Colorado",1,Jan,7,18,1,2.9444389791664403
289,"Denver, Colorado",1,Feb,8,16,2,2.833213344056216
290,"Denver, Colorado",1,Mar,12,9,3,2.302585092994046
291,"Denver, Colorado",1,Apr,16,10,4,2.3978952727983707
292,"Denver, Colorado",1,May,21,4,5,1.6094379124341003
293,"Denver, Colorado",1,Jun,27,5,6,1.791759469228055
294,"Denver, Colorado",1,Jul,31,2,7,1.0986122886681098
295,"Denver, Colorado",1,Aug,30,3,8,1.3862943611198906
296,"Denver, Colorado",1,Sep,25,4,9,1.6094379124341003
297,"Denver, Colorado",1,Oct,18,6,10,1.9459101490553132
298,"Denver, Colorado",1,Nov,11,9,11,2.302585092994046
299,"Denver, Colorado",1,Dec,6,14,12,2.70805020110221
300,"Denver, Colorado",2,Jan,-8,38,1,3.6635616461296463
301,"Denver, Colorado",2,Feb,-7,37,2,3.6375861597263857
302,"Denver, Colorado",2,Mar,-3,25,3,3.258096538021482
303,"Denver, Colorado",2,Apr,1,18,4,2.9444389791664403
304,"Denver, Colorado",2,May,7,15,5,2.772588722239781
305,"Denver, Colorado",2,Jun,12,13,6,2.6390573296152584
306,"Denver, Colorado",2,Jul,15,9,7,2.302585092994046
307,"Denver, Colorado",2,Aug,14,12,8,2.5649493574615367
308,"Denver, Colorado",2,Sep,9,18,9,2.9444389791664403
309,"Denver, Colorado",2,Oct,2,15,10,2.772588722239781
310,"Denver, Colorado",2,Nov,-4,28,11,3.367295829986474
311,"Denver, Colorado",2,Dec,-9,37,12,3.6375861597263857
312,"Detroit, Michigan",1,Jan,0,16,1,2.833213344056216
313,"Detroit, Michigan",1,Feb,2,18,2,2.9444389791664403
314,"Detroit, Michigan",1,Mar,8,7,3,2.0794415416798357
315,"Detroit, Michigan",1,Apr,15,4,4,1.6094379124341003
316,"Detroit, Michigan",1,May,21,3,5,1.3862943611198906
317,"Detroit, Michigan",1,Jun,26,1,6,0.6931471805599453
318,"Detroit, Michigan",1,Jul,29,0,7,0.0
319,"Detroit, Michigan",1,Aug,27,0,8,0.0
320,"Detroit, Michigan",1,Sep,23,0,9,0.0
321,"Detroit, Michigan",1,Oct,16,3,10,1.3862943611198906
322,"Detroit, Michigan",1,Nov,9,8,11,2.1972245773362196
323,"Detroit, Michigan",1,Dec,2,17,12,2.8903717578961645
324,"Detroit, Michigan",2,Jan,-7,52,1,3.970291913552122
325,"Detroit, Michigan",2,Feb,-6,40,2,3.713572066704308
326,"Detroit, Michigan",2,Mar,-2,29,3,3.4011973816621555
327,"Detroit, Michigan",2,Apr,4,7,4,2.0794415416798357
328,"Detroit, Michigan",2,May,10,8,5,2.1972245773362196
329,"Detroit, Michigan",2,Jun,15,3,6,1.3862943611198906
330,"Detroit, Michigan",2,Jul,18,0,7,0.0
331,"Detroit, Michigan",2,Aug,17,3,8,1.3862943611198906
332,"Detroit, Michigan",2,Sep,13,1,9,0.6931471805599453
333,"Detroit, Michigan",2,Oct,6,10,10,2.3978952727983707
334,"Detroit, Michigan",2,Nov,1,19,11,2.995732273553991
335,"Detroit, Michigan",2,Dec,-4,31,12,3.4657359027997265
336,"Hartford, Connecticut",1,Jan,1,23,1,3.1780538303479458
337,"Hartford, Connecticut",1,Feb,4,18,2,2.9444389791664403
338,"Hartford, Connecticut",1,Mar,9,11,3,2.4849066497880004
339,"Hartford, Connecticut",1,Apr,16,7,4,2.0794415416798357
340,"Hartford, Connecticut",1,May,22,1,5,0.6931471805599453
341,"Hartford, Connecticut",1,Jun,26,4,6,1.6094379124341003
342,"Hartford, Connecticut",1,Jul,29,3,7,1.3862943611198906
343,"Hartford, Connecticut",1,Aug,28,5,8,1.791759469228055
344,"Hartford, Connecticut",1,Sep,24,9,9,2.302585092994046
345,"Hartford, Connecticut",1,Oct,17,4,10,1.6094379124341003
346,"Hartford, Connecticut",1,Nov,11,7,11,2.0794415416798357
347,"Hartford, Connecticut",1,Dec,4,12,12,2.5649493574615367
348,"Hartford, Connecticut",2,Jan,-8,21,1,3.091042453358316
349,"Hartford, Connecticut",2,Feb,-6,25,2,3.258096538021482
350,"Hartford, Connecticut",2,Mar,-2,26,3,3.295836866004329
351,"Hartford, Connecticut",2,Apr,4,15,4,2.772588722239781
352,"Hartford, Connecticut",2,May,9,15,5,2.772588722239781
353,"Hartford, Connecticut",2,Jun,14,8,6,2.1972245773362196
354,"Hartford, Connecticut",2,Jul,17,10,7,2.3978952727983707
355,"Hartford, Connecticut",2,Aug,16,4,8,1.6094379124341003
356,"Hartford, Connecticut",2,Sep,12,16,9,2.833213344056216
357,"Hartford, Connecticut",2,Oct,5,17,10,2.8903717578961645
358,"Hartford, Connecticut",2,Nov,1,27,11,3.332204510175204
359,"Hartford, Connecticut",2,Dec,-5,27,12,3.332204510175204
360,"Houston, Texas",1,Jan,17,10,1,2.3978952727983707
361,"Houston, Texas",1,Feb,19,8,2,2.1972245773362196
362,"Houston, Texas",1,Mar,23,4,3,1.6094379124341003
363,"Houston, Texas",1,Apr,26,1,4,0.6931471805599453
364,"Houston, Texas",1,May,30,8,5,2.1972245773362196
365,"Houston, Texas",1,Jun,33,8,6,2.1972245773362196
366,"Houston, Texas",1,Jul,34,4,7,1.6094379124341003
367,"Houston, Texas",1,Aug,35,5,8,1.791759469228055
368,"Houston, Texas",1,Sep,32,3,9,1.3862943611198906
369,"Houston, Texas",1,Oct,28,4,10,1.6094379124341003
370,"Houston, Texas",1,Nov,23,9,11,2.302585092994046
371,"Houston, Texas",1,Dec,18,12,12,2.5649493574615367
372,"Houston, Texas",2,Jan,6,16,1,2.833213344056216
373,"Houston, Texas",2,Feb,8,13,2,2.6390573296152584
374,"Houston, Texas",2,Mar,11,16,3,2.833213344056216
375,"Houston, Texas",2,Apr,15,7,4,2.0794415416798357
376,"Houston, Texas",2,May,20,11,5,2.4849066497880004
377,"Houston, Texas",2,Jun,23,8,6,2.1972245773362196
378,"Houston, Texas",2,Jul,24,7,7,2.0794415416798357
379,"Houston, Texas",2,Aug,24,7,8,2.0794415416798357
380,"Houston, Texas",2,Sep,21,9,9,2.302585092994046
381,"Houston, Texas",2,Oct,16,10,10,2.3978952727983707
382,"Houston, Texas",2,Nov,11,7,11,2.0794415416798357
383,"Houston, Texas",2,Dec,7,27,12,3.332204510175204
384,"Indianapolis, Indiana",1,Jan,2,9,1,2.302585092994046
385,"Indianapolis, Indiana",1,Feb,5,5,2,1.791759469228055
386,"Indianapolis, Indiana",1,Mar,11,4,3,1.6094379124341003
387,"Indianapolis, Indiana",1,Apr,17,5,4,1.791759469228055
388,"Indianapolis, Indiana",1,May,23,0,5,0.0
389,"Indianapolis, Indiana",1,Jun,28,0,6,0.0
390,"Indianapolis, Indiana",1,Jul,29,0,7,0.0
391,"Indianapolis, Indiana",1,Aug,29,0,8,0.0
392,"Indianapolis, Indiana",1,Sep,25,0,9,0.0
393,"Indianapolis, Indiana",1,Oct,19,3,10,1.3862943611198906
394,"Indianapolis, Indiana",1,Nov,11,7,11,2.0794415416798357
395,"Indianapolis, Indiana",1,Dec,4,20,12,3.044522437723423
396,"Indianapolis, Indiana",2,Jan,-6,38,1,3.6635616461296463
397,"Indianapolis, Indiana",2,Feb,-5,50,2,3.9318256327243257
398,"Indianapolis, Indiana",2,Mar,0,23,3,3.1780538303479458
399,"Indianapolis, Indiana",2,Apr,6,4,4,1.6094379124341003
400,"Indianapolis, Indiana",2,May,11,4,5,1.6094379124341003
401,"Indianapolis, Indiana",2,Jun,17,2,6,1.0986122886681098
402,"Indianapolis, Indiana",2,Jul,19,0,7,0.0
403,"Indianapolis, Indiana",2,Aug,18,1,8,0.6931471805599453
404,"Indianapolis, Indiana",2,Sep,13,4,9,1.6094379124341003
405,"Indianapolis, Indiana",2,Oct,7,11,10,2.4849066497880004
406,"Indianapolis, Indiana",2,Nov,2,19,11,2.995732273553991
407,"Indianapolis, Indiana",2,Dec,-4,27,12,3.332204510175204
408,"Jacksonville, Florida",1,Jan,18,5,1,1.791759469228055
409,"Jacksonville, Florida",1,Feb,20,3,2,1.3862943611198906
410,"Jacksonville, Florida",1,Mar,23,2,3,1.0986122886681098
411,"Jacksonville, Florida",1,Apr,26,2,4,1.0986122886681098
412,"Jacksonville, Florida",1,May,30,0,5,0.0
413,"Jacksonville, Florida",1,Jun,32,0,6,0.0
